PALAVRA,QTD_PALAVRA
,0
,37250
THIRD,65
EDITIONCOMPUTER,2
ORGANIZATION,49
DESIGNTHE,2
HARDWARE/SOFTWARE,2
INTERFACE,58
ACKNOWLEDGEMENTSFIGURES,1
1,969
9,137
15,50
COURTESY,21
OF,6459
INTEL,124
FIGURE,744
11,101
STORAGE,99
TECHNOLOGY,114
CORP,9
FIGURES,41
7,392
2,896
6,580
13,49
THE,17361
CHARLES,4
BABBAGE,2
INSTITUTE,5
UNIVERSITY,70
MINNESOTA,3
LIBRARIES,12
MINNEAPOLIS,1
3,502
8,327
IBM,24
4,683
CRAY,3
INC,9
5,622
APPLE,4
COMPUTER,594
HISTORY,51
MUSEUM,6
33,18
AMD,27
SCIENCE,17
BOSTON,5
MIPS,573
TECHNOLOGIES,22
©PEG,1
SKORPINSKI,1
AMERICA,3
COMMERCIAL,11
COMPUTING,73
NASA,1
AMES,1
RESEARCH,12
CENTER,11
LAWRENCE,3
LIVERMORE,6
NATIONAL,8
LABORATORY,4
COMPUTERS,295
IN,4350
REAL,81
WORLD:,1
PHOTO,10
A,5485
LAOTIAN,2
VILLAGER,4
DAVID,20
SANGER,1
AN,1042
INDIAN,3
PROPERTY,1
ENCORE,1
SOFTWARE,174
LTD,1
INDIA,1
PHOTOS,6
BLOCK,381
AND,5029
STUDENTS,12
POP-UP,4
ARCHIVAL,4
SATELLITE,5
TAG,70
PROFESSOR,5
BARBARA,3
BY,1130
SCOTT,2
TAYLOR,3
DAWSON,7
STUDENT,6
MICA,2
MICROMOTE,3
AP/WORLD,1
WIDE,60
IMAGES,21
POTTERY,3
FRAGMENTS,7
RECONSTRUC-,2
TION,138
ANDREW,1
WILLIS,1
B,200
COOPER,1
BROWN,5
DIVISION,41
ENGINEERING,15
EUROSTAR,5
TGV,9
TRAIN,5
JOS,1
VAN,1
DER,1
KOLK,1
INTERIOR,3
CAB,4
ANDY,1
VEITCH,1
FIREFIGHTER,3
KEN,3
WHITTEN,2
WORLD,41
ECONOMIC,2
FORUM,2
GRAPHIC,4
ARTIFICIAL,9
RETINA,2
©,2
SAN,21
FRANCISCO,13
CHRONICLE,4
REPRINTED,2
PERMISSION,2
IMAGE,19
LASER,8
SCAN,7
MICHELANGELO’S,4
STATUE,2
MARC,3
LEVOY,2
DR,1
FRANCA,1
FALLETTI,1
DIRECTOR,1
GALLERIA,1
DELL'ACCA-,1
DEMIA,1
ITALY,1
FROM,943
SISTINE,5
CHAPEL,6
LUCA,1
PEZZATI,1
IR,19
RECORDED,6
USING,387
SCANNER,2
FOR,2498
REFLECTOGRAPHY,4
INOA,1
APPLIED,11
OPTICS,1
HTTP://ARTE,1
INO,1
IT,930
AT,509
OPIFICIO,1
DELLE,1
PIETRE,1
DURE,4
FLORENCE,1
INTERFACEDAVID,1
PATTERSONUNIVERSITY,1
CALIFORNIA,13
BERKELEY,13
JOHN,15
L,25
HENNESSYSTANFORD,1
WITH,1141
CONTRIBUTION,2
PETER,4
J,109
ASHENDENJAMES,1
R,31
LARUSDANIEL,1
SORIN,2
ASHENDEN,2
DESIGNS,30
PTY,1
LTDMICROSOFT,1
RESEARCHDUKE,1
AMSTERDAM,2
•,14
HEIDELBERG,1
LONDON,1
NEW,195
YORK,14
OXFORD,2
PARIS,2
DIEGO,1
SINGAPORE,1
SYDNEY,1
TOKYO,1
MORGAN,15
KAUFMANN,15
IS,3803
IMPRINT,2
ELSEVIER,4
SENIOR,1
EDITOR,10
DENISE,2
E,66
M,35
PENROSE,2
PUBLISHING,6
SERVICES,11
MANAGERSIMON,1
CRUMP,2
EDITORIAL,1
ASSISTANT,3
SUMMER,4
COVER,10
DESIGN,236
ROSS,1
CARON,1
CHAPTER,257
ILLUSTRATIONCHRIS,1
ASIMOUDIS,1
TEXT,39
GGS,1
BOOK,102
COMPOSITION,2
NANCY,3
LOGAN,2
DARTMOUTH,2
TECHNICAL,12
ILLUSTRATION,2
COPYEDITOR,1
KE,1
N,40
DELLAPENTA,1
PROOFREADER,1
JACQUI,1
BROWNSTEIN,1
INDEXER,1
LINDA,1
BUSKUS,1
PRINTER,9
COURIER,2
PUBLISHERS,10
500,19
SANSOME,1
STREET,1
SUITE,6
400,15
CA,6
94111,1
THIS,1339
PRINTED,8
ON,1439
ACID-FREE,1
PAPER,30
2005,2
ALL,414
RIGHTS,4
RESERVED,19
DESIGNATIONS,1
USED,564
COMPANIES,6
TO,5612
DISTINGUISH,13
THEIR,125
PRODUCTS,17
ARE,1574
OFTEN,129
CLAIMED,1
AS,1282
TRADEMARKS,3
OR,1045
REGISTERED,1
INSTANCES,10
WHICH,792
AWARE,5
CLAIM,10
PRODUCT,80
NAMES,21
APPEAR,24
INITIAL,23
CAPITAL,2
LETTERS,11
READERS,32
HOWEVER,71
SHOULD,99
CONTACT,2
APPROPRIATE,32
MORE,655
COMPLETE,70
INFORMATION,138
REGARDING,1
REGISTRATION,1
NO,187
PART,67
PUBLICATION,2
MAY,254
BE,1286
REPRODUCED,1
STORED,82
RETRIEVAL,1
SYSTEM,465
TRANSMITTED,8
ANY,187
FORM,78
MEANS—ELECTRONIC,1
MECHANICAL,6
PHOTOCOPYING,1
SCANNING,6
OTHERWISE—WITHOUT,1
PRIOR,14
WRITTEN,158
PER-,25
MISSION,4
PUBLISHER,3
PERMISSIONS,2
SOUGHT,1
DIRECTLY,52
ELSEVIER’S,1
&,23
DEPARTMENT,2
UK:,1
PHONE:,2
+44,2
1865,3
843830,1
FAX:,1
853333,1
E-MAIL:,1
PERMISSIONS@ELSEVIER,1
COM,7
UK,2
YOU,303
ALSO,335
YOUR,89
REQUEST,40
ON-LINE,1
VIA,33
HOMEPAGE,2
HTTP://ELSEVIER,1
SELECTING,4
CUSTOMER,2
SUPPORT,83
THEN,288
OBTAINING,3
LIBRARY,60
CONGRESS,5
CATALOGING-IN-PUBLICATION,1
DATA,1007
APPLICATION,50
SUBMITTED,2
ISBN:,1
1-55860-604-1,1
PUBLICATIONS,1
VISIT,1
OUR,118
WEB,37
SITE,13
WWW,18
MKP,6
UNITED,4
STATES,45
04,2
05,3
06,5
07,1
08,1
CONTENTSVCONTENTSPREFACEIX,1
CHAPTERS,40
ABSTRACTIONS,29
TECHNOLOGY2,1
1INTRODUCTION3,2
2BELOW,5
PROGRAM11,1
3UNDER,10
COVERS15,1
4REAL,12
STUFF:,44
MANUFACTURING,11
PENTIUM,203
CHIPS28,1
5FALLACIES,9
PITFALLS33,1
6CONCLUDING,9
REMARKS35,1
7HISTORICAL,4
PERSPECTIVE,36
FURTHER,59
READING36,1
8EXERCISES36,1
WORLDINFORMATION,1
BILLION,10
WITHOUT,94
IT44,1
INSTRUCTIONS:,17
LANGUAGE,282
COMPUTER46,1
1INTRODUCTION48,1
2OPERATIONS,5
HARDWARE49,1
3OPERANDS,7
HARDWARE52,1
4REPRESENTING,7
INSTRUCTIONS,924
COMPUTER60,1
5LOGICAL,5
OPERATIONS68,1
6INSTRUCTIONS,6
MAKING,52
DECISIONS72,1
7SUPPORTING,9
PROCEDURES,38
HARDWARE79,1
8COMMUNICATING,5
PEOPLE90,1
9MIPS,9
ADDRESSING,99
32-BIT,136
IMMEDIATES,11
ADDRESSES95,1
10TRANSLATING,8
STARTING,50
PROGRAM106,1
11HOW,5
COMPILERS,73
OPTIMIZE116,1
12HOW,3
WORK:,3
INTRODUCTION121,1
12,72
VICONTENTS2,1
13A,8
C,262
SORT,52
EXAMPLE,347
PUT,51
TOGETHER121,1
14IMPLEMENTING,2
OBJECT-ORIENTED,8
LANGUAGE130,1
15ARRAYS,5
VERSUS,78
POINTERS130,1
16REAL,7
IA-32,112
INSTRUCTIONS134,1
17FALLACIES,4
PITFALLS143,1
18CONCLUDING,4
REMARKS145,1
19HISTORICAL,2
READING147,1
20EXERCISES147,1
WORLDHELPING,1
SAVE,63
ENVIRONMENT,14
DATA156,1
ARITHMETIC,132
COMPUTERS158,1
1INTRODUCTION160,1
2SIGNED,8
UNSIGNED,80
NUMBERS160,1
3ADDITION,6
SUBTRACTION170,1
4MULTIPLICATION176,1
5DIVISION183,1
6FLOATING,16
POINT189,1
7REAL,5
FLOATING,62
POINT,149
IA-32217,1
8FALLACIES,5
PITFALLS220,1
9CONCLUDING,4
REMARKS225,1
10HISTORICAL,2
READING229,1
11EXERCISES229,1
WORLDRECONSTRUCTING,1
ANCIENT,5
WORLD236,1
ASSESSING,5
UNDERSTANDING,62
PERFORMANCE238,1
1INTRODUCTION240,1
2CPU,7
PERFORMANCE,615
ITS,219
FACTORS246,1
3EVALUATING,5
PERFORMANCE254,1
TWO,654
SPEC,63
BENCHMARKS,101
RECENT,49
PROCESSORS259,1
PITFALLS266,1
REMARKS270,1
READING272,1
8EXERCISES272,1
WORLDMOVING,1
